,Lot Area,Year Built,Year Remod/Add,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Mo Sold,Yr Sold,Outdoor Liv Area,SalePrice
0,13517,1976,2005,1479,0.0,0.0,2,1,3,1,6,3,2010,44,130500
1,11492,1996,1997,2122,1.0,0.0,2,1,4,1,8,4,2009,74,220000
2,7922,1953,2007,1057,1.0,0.0,1,0,3,1,5,1,2010,52,109000
3,9802,2006,2007,1444,0.0,0.0,2,1,3,1,7,4,2010,100,174000
4,14235,1900,1993,1445,0.0,0.0,2,0,3,1,6,3,2010,59,138500
5,16492,1966,2002,1888,0.0,0.0,2,1,2,1,6,6,2010,0,190000
6,3675,2005,2006,1072,1.0,0.0,2,0,2,1,5,6,2006,44,140000
7,12160,1959,1959,1188,1.0,0.0,1,0,3,1,6,5,2010,0,142000
8,15783,1952,1952,924,0.0,0.0,1,0,2,1,6,6,2007,324,112500
9,11606,1969,1969,2080,0.0,1.0,1,2,5,1,9,9,2007,335,135000
10,1680,1971,1971,987,0.0,0.0,1,1,2,1,4,7,2008,0,85400
11,7488,2005,2005,1208,0.0,0.0,2,0,2,1,6,2,2006,163,183600
13,2645,1999,2000,1607,1.0,0.0,2,1,3,1,7,12,2008,169,200000
14,9627,2007,2007,1361,0.0,0.0,2,0,3,1,6,6,2008,50,193000
15,10114,2004,2005,1430,0.0,0.0,2,0,3,1,7,3,2010,0,173500
16,4571,1916,1950,1344,0.0,0.0,1,0,4,1,7,5,2008,0,98000
17,8816,1963,1963,1121,1.0,0.0,1,0,3,1,5,6,2009,80,139000
18,8197,1977,1977,1285,0.0,0.0,1,1,3,1,7,4,2007,138,143500
19,8640,2009,2009,1547,0.0,0.0,2,1,3,1,7,6,2010,214,215200
20,8724,1968,1968,894,0.0,0.0,1,0,3,1,5,5,2007,0,129000
21,5664,2000,2000,1659,1.0,0.0,2,0,2,1,5,10,2009,271,278000
22,12867,2005,2006,2253,0.0,0.0,2,1,3,1,8,7,2006,385,344133
23,7980,1992,2007,1187,1.0,0.0,2,0,3,1,6,3,2010,504,185000
25,10573,1961,1961,1453,1.0,0.0,2,0,3,1,6,4,2009,337,187500
26,8450,1965,2009,894,1.0,0.0,1,0,3,1,5,4,2010,560,138500
27,11700,1937,1995,1938,0.0,0.0,2,0,4,1,7,7,2008,40,198000
28,8250,1895,2006,1991,0.0,0.0,2,0,4,2,9,6,2007,0,119600
